group	Influence
           1   39.79709    
           1   26.58804    
           1   36.04999    
           1   35.92915    
           1   27.02636    
           1   31.08900    
           1   36.07162    
           1   28.76262    
           1   34.28117    
           1   26.01550    
           1   33.50829    
           1   31.11898    
           1   25.05499    
           1   34.94936    
           1   33.75784    
           2   21.04230    
           2   29.13803    
           2   21.91325    
           2   24.62044    
           2   16.42182    
           2   23.98535    
           2   20.10102    
           2   27.56425    
           2   19.73288    
           2   21.42553    
           2   23.80524    
           2   14.08262    
           2   15.90724    
           2   22.08067    
           2   13.17934    
           3   1.657532    
           3   6.364003    
           3   2.994575    
           3   3.192559    
           3   13.81348    
           3   4.926048    
           3   5.536308    
           3   8.723658    
           3   1.456163    
           3   14.45251    
           3   7.788167    
           3   12.96983    
           3   8.439098    
           3   7.962356    
           3   4.723711    
           4   21.18090    
           4   15.82461    
           4   5.839624    
           4   8.540992    
           4   9.808107    
           4   14.70767    
           4   16.81310    
           4   16.62484    
           4   11.66662    
           4   20.16209    
           4  0.9063538    
           4   13.58249    
           4   20.22021    
           4   10.39847    
           4   23.72392    
           5   10.38834    
           5   12.15354    
           5   12.99947    
           5   20.26595    
           5   18.36910    
           5   12.45954    
           5   16.45075    
           5   13.39557    
           5   19.20910    
           5   6.553079    
           5   18.29135    
           5   14.06844    
           5   15.99481    
           5   5.194205    
           5   14.20676    
           6  1.0897030E-02
           6 -9.7387278E-04
           6  1.3867012E-02
           6  1.8150669E-02
           6  1.4563071E-02
           6  1.3748752E-03
           6  8.2384599E-03
           6  3.8247116E-02
           6  1.2198332E-02
           6  4.1163308E-03
           6  1.0580758E-02
           6 -3.7121372E-03
           6  3.8232040E-03
           6  1.7507944E-02
           6  1.1212053E-03
           7  0.1784405    
           7 -8.9399405E-03
           7  0.2839881    
           7  2.8006580E-02
           7 -2.3501817E-02
           7  0.1776403    
           7  0.1696813    
           7  8.0374926E-02
           7  0.1740860    
           7  3.4809593E-02
           7 -2.6271541E-02
           7  0.1514589    
           7  0.1669303    
           7  8.2664669E-02
           7  3.0632015E-02
           8  0.1871458    
           8  0.3477257    
           8  0.3169139    
           8  0.5275484    
           8  0.4098931    
           8 -0.1499145    
           8  0.4124163    
           8  0.1926038    
           8  0.2403629    
           8 -0.1282771    
           8 -0.1255396    
           8  0.2652948    
           8  0.4698228    
           8  7.1430653E-02
           8  0.2625731    
