ID	TH1_T1	TH2_T1	TH3_T1	TB1_T1	TB2_T1	TB3_T1	ACOM1_T1	ACOM2_T1	ACOM3_T1	SAT1_T1	SAT2_T1	SAT3_T1	ACON1_T1	ACON2_T1	ACON3_T1	VI01_T1	DE01_T1	AB01_T1	VI02_T1	DE02_T1	AB02_T1	DE03_T1	VI03_T1	AB03_T1	DE04_T1	AB04_T1	VI04_T1	DE05_T1	AB05_T1	VI05_T1	AB06_T1	VI06_T1	SL1_T1	SL2_T1	SL3_T1	SL4_T1	SL5_T1	TH1_T2	TH2_T2	TH3_T2	TB1_T2	TB2_T2	TB3_T2	ACOM1_T2	ACOM2_T2	ACOM3_T2	SAT1_T2	SAT2_T2	SAT3_T2	ACON1_T2	ACON2_T2	ACON3_T2	VI01_T2	DE01_T2	AB01_T2	VI02_T2	DE02_T2	AB02_T2	DE03_T2	VI03_T2	AB03_T2	DE04_T2	AB04_T2	VI04_T2	DE05_T2	AB05_T2	VI05_T2	AB06_T2	VI06_T2	SL1_T2	SL2_T2	SL3_T2	SL4_T2	SL5_T2	ACOMT1_M	ACOMT1_SS	THT1_M	THT1_SS	TBT1_M	TBT1_SS	SATT1_M	SATT1_SS	ACONT1_M	ACONT1_SS	AB_T1_M	AB_T1_SS	DE_T1_M	DE_T1_SS	VI_T1_M	VI_T1_SS	SLT1_M	SLT1_SS	TH_T2_M	TH_T2_SS	TB_T2_M	TB_T2_SS	SAT_T2_M	SAT_T2SS	ACOMT2M	ACOMT2SS	ACONT2M	ACONT2SS	ABT2_M	ABT2_SS	DET2_M	DET2_SS	VIT2_M	VIT2_SS	SLT2M	SLT2SS
15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	6	6	6	6	6	5	5	6	6	6	6	6	6	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	15	6	18	6	18	5.33333333333333	16	6	18	-999	-999	-999	-999	-999	-999	-999	-999
53	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	5	5	4	5	5	2	2	4	4	4	5	5	5	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4.33333333333333	13	4.66666666666667	14	4.33333333333333	13	2.66666666666667	8	5	15	-999	-999	-999	-999	-999	-999	-999	-999
58	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7	6	6	6	4	6	6	2	3	5	4	6	4	4	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.33333333333333	19	5.33333333333333	16	5	15	3.66666666666667	11	4	12	-999	-999	-999	-999	-999	-999	-999	-999
109	5	7	4	5	6	5	6	7	5	7	7	7	5	7	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	4	5	7	4	5	5	4	4	6	4	6	3	7	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	18	5.33333333333333	16	5.33333333333333	16	7	21	5.66666666666667	17	-999	-999	-999	-999	-999	-999	-999	-999	5	15	5.33333333333333	16	5.33333333333333	16	4.33333333333333	13	5.33333333333333	16	-999	-999	-999	-999	-999	-999	-999	-999
129	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	3	6	5	3	7	4	5	5	4	5	6	4	6	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4.66666666666667	14	5	15	5	15	4.66666666666667	14	5.33333333333333	16	-999	-999	-999	-999	-999	-999	-999	-999
136	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	4	6	4	4	4	5	4	4	7	7	4	7	7	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	15	4	12	6	18	4.33333333333333	13	6.66666666666667	20	-999	-999	-999	-999	-999	-999	-999	-999
140	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	6	6	6	6	6	5	5	5	6	6	6	2	2	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	18	6	18	6	18	5	15	2.33333333333333	7	-999	-999	-999	-999	-999	-999	-999	-999
151	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	5	4	5	5	5	6	6	5	6	6	6	6	6	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	15	5	15	6	18	5.66666666666667	17	6	18	-999	-999	-999	-999	-999	-999	-999	-999
201	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	4	6	6	6	6	5	5	6	4	6	6	6	6	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5.33333333333333	16	6	18	5.33333333333333	16	5.33333333333333	16	6	18	-999	-999	-999	-999	-999	-999	-999	-999
233	4	6	7	4	4	6	6	6	6	6	4	4	5	5	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	18	5.66666666666667	17	4.66666666666667	14	4.66666666666667	14	5	15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
