"sex" "site" "setting" "viewenc" "age" "peabody" "prenumb" "postnumb" "funumb" "Bb" "Bl" "Bf" "Bn" "Br" "Bc" "Ab" "Al" "Af" "An" "Ar" "Ac"
2 3 1 1 47 45 20 26 46 21 11 4 14 4 8 19 14 12 18 10 15
2 5 1 0 55 63 29 37 37 18 15 6 8 7 9 26 12 12 15 7 10
2 4 2 0 54 60 22 22 6 27 23 14 29 11 18 24 38 15 35 13 17
1 2 2 1 59 85 49 45 44 13 19 9 16 10 9 16 15 6 3 7 8
2 1 1 0 40 17 18 15 32 14 11 8 15 5 11 15 7 8 8 7 10
2 4 2 0 41 43 22 37 68 13 16 5 16 8 11 25 17 6 18 8 6
1 3 1 0 48 34 7 13 28 24 16 11 22 10 14 29 53 19 50 15 22
2 3 1 0 39 17 8 3 9 29 12 14 28 11 15 30 30 19 30 12 20
2 1 1 0 41 75 24 29 47 25 22 16 28 9 15 31 25 16 42 13 22
1 3 1 0 55 53 14 12 39 24 18 14 15 13 17 28 39 18 38 12 21
2 2 1 0 52 66 25 28 16 23 11 9 27 8 13 25 36 17 35 13 19
1 4 1 0 52 51 21 27 52 21 22 15 22 11 14 23 40 19 48 13 21
2 1 2 0 54 40 22 39 41 22 22 15 30 10 17 30 40 18 50 13 18
2 4 1 0 57 58 20 28 26 20 17 10 21 9 15 27 37 17 19 7 15
2 3 1 1 55 26 9 6 12 13 4 8 5 5 3 18 17 10 14 12 11
1 3 1 0 56 49 17 19 48 15 9 10 1 8 4 23 12 17 14 14 9
2 3 2 1 42 43 24 41 43 7 13 6 10 3 8 17 12 12 18 11 10
2 1 1 0 44 36 11 16 23 15 17 11 17 8 10 25 30 15 41 14 18
1 1 2 1 49 44 26 9 46 16 12 10 17 11 15 32 25 16 35 11 14
1 4 2 0 56 38 29 38 41 14 16 3 13 6 7 14 16 9 21 9 6
1 1 1 0 48 34 17 7 20 23 19 11 27 12 9 28 37 17 61 17 22
1 1 2 0 63 48 26 29 16 18 15 7 12 9 13 21 14 11 14 10 9
1 4 2 0 59 35 14 20 26 21 13 11 23 11 12 27 29 20 36 14 28
1 1 1 1 57 78 40 33 56 26 12 10 28 9 12 30 36 19 46 17 19
2 3 1 0 55 59 14 24 46 26 22 15 26 11 12 30 30 16 42 12 16
1 3 1 0 57 25 18 22 34 21 25 13 28 14 18 19 11 8 8 10 11
1 4 1 1 61 52 10 33 8 11 3 9 1 6 9 17 27 11 21 12 17
1 1 2 0 55 36 22 36 43 27 16 14 22 12 14 27 20 10 24 10 12
1 4 2 0 57 57 28 24 12 19 22 7 19 8 12 28 34 15 31 14 17
1 4 1 1 54 21 13 28 51 16 6 4 11 6 4 17 20 8 31 13 8
1 3 1 1 52 43 14 25 27 15 24 11 26 14 14 24 38 15 38 11 20
1 3 2 0 50 16 18 22 34 9 3 1 1 7 5 23 10 11 20 12 10
1 3 1 0 47 28 9 21 43 29 4 10 11 10 12 24 7 9 20 9 9
2 5 1 0 54 59 28 42 28 24 16 13 26 10 12 27 23 13 25 9 17
2 4 2 0 48 47 34 28 60 27 22 15 13 9 15 40 32 12 30 10 17
1 1 2 0 60 55 31 41 71 11 19 9 11 9 14 23 18 12 24 7 13
1 1 1 0 50 47 42 42 51 14 8 4 12 8 9 17 6 8 11 8 10
1 3 1 0 50 29 13 12 8 24 5 7 23 8 10 26 6 9 18 9 8
1 1 1 0 36 48 30 34 0 10 16 3 18 7 8 22 18 11 27 9 13
1 1 2 1 51 42 17 30 38 22 28 15 36 12 18 31 32 17 44 14 18
2 4 2 0 55 32 5 6 38 18 7 3 14 13 7 22 41 14 32 13 16
2 1 1 0 35 39 0 14 46 21 15 11 16 12 8 32 44 15 41 12 20
2 1 2 0 40 25 15 26 10 20 11 10 21 6 11 23 23 16 30 10 17
2 4 1 0 54 44 26 40 63 27 18 8 27 9 12 31 34 17 30 11 19
2 2 2 0 47 47 3 35 39 29 2 9 16 11 6 28 27 11 35 13 10
2 2 1 0 50 54 25 50 80 19 8 9 18 9 10 31 19 12 29 10 19
2 3 2 1 62 41 30 33 43 27 30 13 22 12 15 26 29 13 27 10 11
1 4 2 0 57 39 16 39 35 19 20 10 22 10 14 24 19 13 27 11 14
1 2 2 0 47 70 28 44 22 21 13 10 19 8 13 26 21 11 18 13 19
1 3 1 0 49 42 8 0 13 16 10 7 15 10 14 28 29 15 31 12 17
1 3 1 0 56 53 14 23 70 27 14 14 20 11 15 32 18 20 36 10 19
2 3 1 1 51 45 17 28 10 13 15 8 9 6 10 12 16 13 18 12 17
1 5 1 0 56 60 19 40 45 19 13 9 17 8 13 17 33 17 32 13 19
1 2 1 0 53 69 38 55 91 17 7 5 6 7 8 29 25 13 25 11 13
2 1 2 1 59 32 16 30 21 17 32 12 27 8 13 28 34 19 34 9 22
2 2 1 0 43 30 15 24 11 18 8 2 2 4 3 20 17 10 24 13 15
2 1 2 1 50 47 22 32 11 19 11 11 20 9 12 26 29 15 38 14 16
2 2 2 0 52 78 23 32 75 23 29 16 38 10 17 25 30 13 30 12 26
2 2 1 0 45 76 30 34 29 31 23 11 33 16 20 31 47 20 55 14 25
2 3 2 0 56 41 31 46 31 19 10 7 27 12 10 25 20 9 26 9 11
1 4 2 1 44 17 7 7 26 16 21 6 24 6 10 21 30 11 31 9 18
2 4 2 1 54 57 26 24 28 29 19 15 35 13 14 30 24 15 30 13 14
2 3 2 1 54 41 8 32 30 23 12 6 13 8 7 30 16 12 30 13 17
1 3 1 0 53 30 17 29 38 19 9 5 14 7 5 24 13 10 19 9 10
2 1 1 0 42 55 31 49 59 28 19 17 35 13 22 29 29 18 47 13 23
2 1 1 0 44 32 13 18 34 20 17 11 15 8 10 22 12 13 22 11 15
2 4 2 0 60 42 23 28 25 21 12 10 4 6 6 20 12 8 24 8 7
1 5 1 0 55 62 22 39 67 24 12 9 19 10 12 28 30 18 35 13 16
1 3 1 1 53 27 15 28 62 15 19 8 19 13 12 22 37 11 18 9 11
1 2 1 0 51 57 19 38 43 38 23 14 35 15 16 27 34 16 50 16 25
2 1 1 0 45 61 33 32 5 17 20 4 7 7 7 23 21 9 11 11 9
2 1 2 0 59 49 52 52 47 18 8 6 18 6 14 26 27 18 25 10 17
2 2 1 1 53 54 22 18 14 15 19 9 12 10 10 23 15 11 26 14 13
1 1 1 1 45 60 29 39 62 7 1 1 1 3 3 18 14 5 2 6 5
2 5 1 0 39 38 7 31 50 27 10 14 32 10 19 31 44 20 38 10 18
1 3 1 0 57 41 10 21 34 24 17 14 26 12 19 28 17 16 33 12 22
1 2 1 0 47 48 23 47 33 26 14 12 20 11 17 18 32 13 15 12 19
1 1 1 0 44 32 12 20 15 17 10 12 15 8 17 18 6 13 14 11 13
2 3 1 0 49 25 13 25 22 20 5 5 16 8 7 25 25 15 38 11 13
2 2 2 0 51 68 13 13 34 16 8 8 15 8 12 27 12 11 19 8 9
1 2 1 0 46 51 22 52 54 24 13 12 23 6 15 32 32 19 25 11 18
2 5 1 1 49 41 21 40 30 8 0 0 2 6 2 10 25 5 9 8 6
1 5 1 0 47 47 22 32 38 18 17 8 15 9 6 16 3 11 16 9 9
2 2 2 0 49 64 20 27 42 30 25 9 33 11 15 31 30 15 43 15 19
2 3 2 0 53 47 15 19 1 18 17 4 22 10 8 18 19 11 23 12 13
2 1 1 0 50 36 7 7 7 20 2 6 4 6 8 18 7 10 15 6 11
1 1 1 0 43 43 19 25 5 14 13 8 1 11 10 22 7 10 10 10 9
2 3 1 0 46 28 12 25 60 16 26 10 25 7 12 20 28 9 19 8 12
2 3 1 0 53 43 21 40 65 24 18 21 28 12 18 29 29 18 42 15 20
2 4 2 0 43 36 24 26 2 17 15 10 16 7 6 18 14 8 16 11 7
