"z" "g"
-0.270863855 "rl"
-0.055361408 "rl"
-0.544381825 "rl"
-0.357800935 "rl"
0.893787136 "rl"
-0.212506491 "rl"
0.007793761 "rl"
-0.44977879 "rl"
-0.478758639 "rl"
-0.064912251 "rl"
0.770031411 "rl"
-0.292012793 "rl"
-0.023165348 "rl"
-0.318709512 "rl"
-0.809318469 "rl"
-0.632497323 "rl"
-0.069570448 "rl"
-0.216449664 "rl"
0.502305619 "rl"
-0.006931705 "rl"
-0.007678603 "rl"
-0.336426342 "rl"
-0.369993661 "rl"
-0.205200026 "rl"
-0.45819931 "rl"
-0.412653136 "rl"
-0.280166494 "rl"
-0.208584434 "rl"
-0.520282883 "rl"
-0.13469173 "rl"
-0.476336569 "pl"
-0.621367021 "pl"
-0.408092508 "pl"
-0.342535764 "pl"
-0.275845957 "pl"
-0.474122888 "pl"
-0.489726781 "pl"
-0.510454955 "pl"
-0.296839836 "pl"
-0.298487417 "pl"
-0.428580799 "pl"
-0.327581218 "pl"
-0.494907231 "pl"
-0.505709806 "pl"
-0.14568781 "pl"
-0.553787825 "pl"
-0.626689124 "pl"
0.486053916 "pl"
-0.523082031 "pl"
-0.274662286 "pl"
0.019147287 "pl"
-0.175273593 "pl"
-0.485365279 "pl"
-0.474261007 "pl"
-0.394608241 "pl"
0.11050948 "pl"
-0.468737349 "pl"
-0.381352891 "pl"
-0.450719712 "pl"
-0.323160837 "pl"
0.519346552 "rh"
1.011811883 "rh"
0.583370821 "rh"
0.88504931 "rh"
0.143693195 "rh"
0.482978065 "rh"
0.51576641 "rh"
0.181188372 "rh"
-0.242649833 "rh"
0.804222575 "rh"
0.100524579 "rh"
0.585100551 "rh"
1.158348565 "rh"
0.402030632 "rh"
-0.307828566 "rh"
0.74446324 "rh"
-0.902463056 "rh"
0.496992693 "rh"
0.701060676 "rh"
0.48197015 "rh"
-0.030578531 "rh"
-0.043714535 "rh"
0.214949445 "rh"
0.596973247 "rh"
0.559770829 "rh"
0.165068175 "rh"
-0.122896779 "rh"
-0.029996126 "rh"
0.635995339 "rh"
0.169814174 "rh"
0.392238814 "ph"
-0.351945134 "ph"
-0.211653748 "ph"
-0.037044812 "ph"
0.588906615 "ph"
0.05061046 "ph"
0.591617269 "ph"
0.584560488 "ph"
0.091637404 "ph"
0.211398464 "ph"
0.681919932 "ph"
0.518185402 "ph"
0.182872774 "ph"
0.084295522 "ph"
-0.073140514 "ph"
0.097417923 "ph"
0.432572207 "ph"
0.40290289 "ph"
0.16656774 "ph"
-0.022878108 "ph"
0.149137076 "ph"
0.297496478 "ph"
-0.59697383 "ph"
0.616529026 "ph"
-0.238328016 "ph"
0.250470152 "ph"
-0.091802061 "ph"
-0.003988982 "ph"
0.939361673 "ph"
0.150632435 "ph"
