"z" "g"
-0.552643658 "pl"
-0.7892339 "pl"
-0.661440305 "pl"
-1.052405531 "pl"
-0.788065151 "pl"
-0.706399957 "pl"
-1.083673729 "pl"
-0.777374173 "pl"
-0.818667957 "pl"
-0.532448306 "pl"
-0.723482968 "pl"
-0.531007818 "pl"
-0.894020084 "pl"
-0.729136464 "pl"
-0.814571475 "rl"
0.351051577 "rl"
-0.393415463 "rl"
0.405864693 "rl"
-0.681062429 "rl"
-0.590704683 "rl"
-0.116863844 "rl"
-0.557791336 "rl"
0.665878284 "rl"
-0.911243753 "rl"
0.157972763 "rl"
-0.151686513 "rl"
-0.352101355 "rl"
0.103371318 "rl"
-0.564697782 "rl"
-0.022418882 "ph"
-0.208738017 "ph"
0.011502775 "ph"
0.094508535 "ph"
-0.267702469 "ph"
0.024935634 "ph"
0.701628966 "ph"
-0.29079488 "ph"
0.416762033 "ph"
-0.11217946 "ph"
-0.098747802 "ph"
-0.298422581 "ph"
-0.04014761 "ph"
-0.219797437 "ph"
-0.290388806 "ph"
0.746550965 "rh"
1.299118503 "rh"
0.894822342 "rh"
1.2508819 "rh"
1.226138342 "rh"
1.335773131 "rh"
1.39358456 "rh"
0.272409992 "rh"
0.951356106 "rh"
0.867718588 "rh"
0.268800271 "rh"
0.485280445 "rh"
1.475121248 "rh"
1.441260562 "rh"
0.791183044 "rh"
