"group" "Influence"
1 3.58
1 -0.15
1 0.67
1 2.22
1 2.56
1 1.7
1 -0.45
1 1.08
1 4.83
1 2.44
1 6.74
1 1.4
1 -0.03
1 0.71
1 4.3
1 5.47
1 2.44
1 0.81
1 3.65
1 1.41
1 -0.38
1 3.11
1 0.21
1 3.51
1 2.63
1 4.74
1 2.12
1 4.36
1 3.26
1 0.94
2 1.67
2 1.85
2 0.5
2 0.63
2 0.04
2 2.8
2 0.02
2 1.32
2 -0.2
2 0.14
2 2.65
2 0.07
2 3
2 0.53
2 -0.38
2 0.48
2 3.87
2 1.4
2 2.02
2 2.37
2 1.99
2 1.32
2 0.86
2 2.3
2 -0.28
2 0.78
2 1.48
2 3.29
2 2.14
2 1.18
3 1.39
3 4.53
3 1.18
3 3.67
3 2.88
3 3.5
3 1.74
3 5.43
3 4.69
3 1.62
3 3.67
3 3.7
3 1.79
3 2.98
3 6.31
3 4.9
3 2.23
3 3.71
3 3.41
3 6.84
3 2.88
3 -0.31
3 -0.08
3 4.14
3 3.45
3 5.2
3 2.2
3 -0.03
3 3.71
3 4.67
4 1.57
4 2.97
4 1.45
4 1.78
4 0.97
4 4.3
4 5.12
4 1.67
4 1.65
4 1.66
4 1.32
4 4.1
4 1.23
4 1.58
4 1.94
4 4.51
4 0.89
4 0.86
4 4.81
4 0.68
4 0.47
4 0.56
4 2.62
4 2.41
4 1.49
4 5.01
4 3.94
4 2.69
4 2.1
4 0.57
5 1.38
5 4.58
5 3.48
5 0.39
5 3.89
5 4.18
5 3.72
5 4.79
5 3.63
5 1.55
5 -0.46
5 2.04
5 2.26
5 4.27
5 5.67
5 4.69
5 2.17
5 2.27
5 4.1
5 3.74
5 4.54
5 1.71
5 4.74
5 4.21
5 4.1
5 4.8
5 2.9
5 2.35
5 4.09
5 1.09

