group	Importance
 1.000000 18.995011
 1.000000 14.518150
 1.000000 11.288947
 1.000000 14.776834
 1.000000  4.226039
 1.000000  7.923616
 1.000000 16.833895
 1.000000 10.247115
 1.000000 16.321440
 1.000000 14.688765
 1.000000  6.838059
 1.000000 16.748947
 1.000000 11.908603
 1.000000 15.009120
 1.000000  5.479981
 1.000000  5.486020
 1.000000 12.360655
 1.000000 11.258361
 1.000000  7.893652
 1.000000 16.196788
 2.000000 15.521658
 2.000000 13.855451
 2.000000  9.572496
 2.000000  7.785560
 2.000000  6.398078
 2.000000  6.403653
 2.000000  5.773963
 2.000000 12.873165
 2.000000  9.765730
 2.000000 11.413392
 2.000000 12.468512
 2.000000  6.116354
 2.000000 12.918091
 2.000000 10.287023
 2.000000  4.680444
 2.000000  4.600844
 2.000000  8.528198
 2.000000 18.271799
 2.000000 10.871225
 2.000000  6.894366
 3.000000 13.918426
 3.000000  5.183525
 3.000000  6.201857
 3.000000  6.020905
 3.000000 11.045194
 3.000000 11.834434
 3.000000 10.744327
 3.000000 14.462343
 3.000000 13.169720
 3.000000  5.735885
 3.000000 12.959702
 3.000000  9.405023
 3.000000 10.012314
 3.000000  8.514647
 3.000000  6.791720
 3.000000  9.834999
 3.000000 10.893538
 3.000000 10.202135
 3.000000  5.828048
 3.000000  7.680944
 3.000000  8.579992
 3.000000  7.778958
 3.000000  4.620952
 3.000000 13.996436
 3.000000  2.704535
 3.000000  9.962969
 3.000000  8.349923
 3.000000  6.990106
 3.000000  5.777199
 3.000000  6.988020
 3.000000  5.681225
