prelet prenumb postnumb
30 35 42
24 29 50
26 32 48
26 42 39
 7 19 34
19 30 21
14 21 27
20 21 32
 7 15 29
28 29 45
13 20 21
18 29 37
10 18 26
 8 22 21
19 29 47
31 37 45
22 29 44
24 13 28
15 18 22
12 11 17
25 47 48
16 28 25
23 14 28
 8 10  1
 7 11 25
33 44 40
11 14 33
13 18 28
 9 25 37
 8 17 30
20 34 44
18 46 55
15 26 36
33 39 42
 3 13 21
21 27 33
18 26 28
29 34 31
23 21 13
10 23 22
21 22 28
 5  1 23
11 16  9
26 12 27
17 13 25
20 32 55
12 29 40
30 33 41
19 25 33
19 31 31
28 37 49
33 38 52
35 36 47
25 29 33
 8  6 10
17 20 11
12 20 44
 2  1 14
36 45 43
11 23 13
 8  7 27
18 24 23
12 23 36
22 31 26
24 38 56
14 11 16
22 39 49
 1 19 46
 8  8 14
 5 23 21
 9 12 32
19 16 32
30 36 40
 9 18 22
 1  8 17
 5  1 18
 1  4 16
21 55 60
 4 11  7
 8  9 18
23 22 10
17 32 51
11 20 36
31 38 55
19 24 40
28 26 47
30 29 36
21 21 19
26 35 33
 1  7 21
 4  8 33
31 23 22
 8 12 33
 1 12 26
26 32 24
15  3 18
 9 16 35
 9  6  9
 5  6 20
18 18 12
35 31 22
 9  7 13
10 19 25
14 32 58
13 27 37
29 22 35
 4 11 21
13  8 24
19 30 49
22 28 25
13  6 18
 1 17 32
20 24 24
26 38 61
27 30 30
28 32 28
17 23 21
19 14 15
10 20 16
36 26 32
13 18 28
17 30 30
 9 22 38
18 16 25
21 26 47
18 20 24
 4  3  4
20 23 40
21 21 36
12 21 15
19 24 31
14 18 26
25 31 60
13 26 36
20 15 34
23 25 41
18 27 38
23 31 24
25 38 49
20 23 28
28 35 47
24 30 44
13 25 39
11 21 22
15 44 51
20 31 33
11  7 13
23 30 29
17 14 17
16 23 29
26 29 39
 3  1  0
30 45 40
12  8 22
 8 18 21
24 46 50
29 31 34
23 22 29
14 25 43
 7  7 26
10  3 23
29 42 43
 9 18 29
11  2 15
 1  1  5
25 35 32
 1  9 18
19 26 30
26 46 34
 1  8 20
18 20 44
29 27 26
11  6 16
24 37 34
12 18 27
 7 24 29
11  7 32
16 10 21
28 40 37
30 29 51
23 26 44
12 19 25
15 11 22
12 17 30
10 21 13
15 18 23
16 26 31
24 24 35
10 14 39
 7 13 33
21 30 33
11 10 27
11 20 14
21 22 23
 1  1 16
29 43 50
13  7 17
17 27 34
44 46 48
 7 20 16
18 20 24
22 22 26
15 24 39
22 28 36
16 20 37
16 15 22
 4  4 24
 4  7 28
10 14  5
 5 18 32
23 32 42
 5 17 33
 8 25 21
 1  7  0
17 29 37
32 45 43
30 22 48
24 32 34
 5 17 41
24 32 33
 7  1  6
 5 28 48
 7 23 24
26 39 39
17  2 41
 9  4  8
 3  5 25
 9 12 28
22 24 29
 5  5 19
25 28 43
21 32 43
36 30 54
16 13 37
25 36 42
10 12 23
23 20 29
14 20 28
14 13 28
15 27 27
